"DATE","XLU","XLV","XLE"
"2011-06-01",-0.0115809831726894,-0.0161922713706479,-0.0230889841891995
"2011-07-01",0.000839474016731678,-0.0356049793322342,0.0181737522646466
"2011-08-01",0.0214740583380433,-0.0213282845652558,-0.107761155575127
"2011-09-01",-0.00799903502254073,-0.0512929292560864,-0.159678272624769
"2011-10-01",0.0460894821538869,0.0614471112469825,0.179065313793418
"2011-11-01",0.0102770555173883,0.00948963503509281,0.0165032357762853
"2011-12-01",0.0216329671423576,0.0236267252930422,-0.0248584027635883
"2012-01-01",-0.0256617792138809,0.0370892143406629,0.0265392020172115
"2012-02-01",0.0060368106893316,0.0105584037670243,0.0575824465343042
"2012-03-01",0.00429024951384749,0.0387638653596714,-0.0426985780357385
"2012-04-01",0.0267476453113531,0.0023716855582423,-0.00327830821142161
"2012-05-01",0.00559288401433822,-0.0369310353524539,-0.112969569239487
"2012-06-01",0.0310249044846231,0.0501728682083162,0.0421602155163328
"2012-07-01",0.0340945292737449,0.0153227495696742,0.0530557539952943
"2012-08-01",-0.0422843900082226,0.0116539065618109,0.0266342746722117
"2012-09-01",0.00110006615410052,0.0324242566366695,0.0262153773349532
"2012-10-01",0.024442478242253,0.00271162077182741,-0.0160322736090395
"2012-11-01",-0.0437623434586705,0.00523240884525178,-0.0123080843417616
"2012-12-01",-0.0113894691085434,-0.00898611206145628,0.00505358165956471
"2013-01-01",0.0576655275773272,0.0786156162256417,0.0848450688709228
"2013-02-01",0.0229709295789142,0.0125060172752951,0.00438608310172839
"2013-03-01",0.0436499149979408,0.0559430149879585,0.0206374920368733
"2013-04-01",0.0665306368139769,0.0339087241740721,-0.00872820406627639
"2013-05-01",-0.0948762786781354,0.0163456876343084,0.0280926367923158
"2013-06-01",-0.00132742358433147,-0.0104470328626807,-0.0277095030012173
"2013-07-01",0.0526374398870115,0.0736919233660291,0.0560616312781557
"2013-08-01",-0.0512128733454866,-0.0359176132682699,-0.0103664060346853
"2013-09-01",0.00187501196433004,0.0274536797067633,0.0162939201923873
"2013-10-01",0.0465695883721433,0.0463056444314942,0.0457438464158466
"2013-11-01",-0.0195290770849872,0.0461062624995119,0.000578914298183797
"2013-12-01",-0.00157945098708501,0.00325196052557386,0.0236650206473987
"2014-01-01",0.0399747388532421,0.0134456945528885,-0.0550598334810228
"2014-02-01",0.0339441413297159,0.0603302016795526,0.0499431589108577
"2014-03-01",0.0246621170214762,-0.0161117375813515,0.0159589221939012
"2014-04-01",0.0496407521736959,-0.00289210686496011,0.0561204213438424
"2014-05-01",-0.0109364617643375,0.0283286062698784,0.0166097382240977
"2014-06-01",0.0349456680271167,0.0172447710253349,0.0490347369339403
"2014-07-01",-0.0619151188377836,0.00506279964368739,-0.0306481081149892
"2014-08-01",0.0480395781016481,0.0472958763312699,0.0216010132036875
"2014-09-01",-0.0278801464958991,0.000782758633655511,-0.085815089225961
"2014-10-01",0.0862151787967869,0.0547963746089772,-0.0308188458320044
"2014-11-01",0.0115888060037066,0.0341940776429981,-0.0909500036454229
"2014-12-01",0.0261759222537337,-0.0178279758813051,-0.00830271013832995
"2015-01-01",0.0319019908528202,0.0166262247702891,-0.0404835555563237
"2015-02-01",-0.0660845606747107,0.0419819102704615,0.0449059337114166
"2015-03-01",-0.0178457844507554,0.00359275016695104,-0.0183910048451699
"2015-04-01",0.00310492491394587,-0.0081629844234028,0.0704396278523065
"2015-05-01",0.00631210184988085,0.0440575868425617,-0.0532813971543158
"2015-06-01",-0.0707603851220022,-0.00736647001340174,-0.0420767365096859
"2015-07-01",0.0682882207706461,0.0325835887454113,-0.0734001548030108
"2015-08-01",-0.0353998988042745,-0.0829952497703683,-0.0434495167114584
"2015-09-01",0.0193593071097937,-0.0623376070118988,-0.0820015561680565
"2015-10-01",0.0199677089768038,0.0779415196512243,0.113150593053782
"2015-11-01",-0.021486279221794,-0.00322900078420485,-0.000147026106675607
"2015-12-01",0.0106849946342407,0.012854811965207,-0.120137903167883
"2016-01-01",0.0585471876437933,-0.0761046833359726,-0.0265895610470928
"2016-02-01",0.0191892836499972,-0.00361725661312384,-0.0284015683317027
"2016-03-01",0.0692519768663509,0.0231336054499254,0.0897030092330868
"2016-04-01",-0.0169900483079188,0.0328045274002537,0.093883481894514
"2016-05-01",0.014963793494847,0.0221068140927008,-0.00937730466517817
"2016-06-01",0.0653648908890649,0.00503257042405192,0.0202803268878746
"2016-07-01",0.00145378798644069,0.0515388089752822,-0.00611956735949715
"2016-08-01",-0.0570457315846018,-0.032984983394595,0.0166317088961581
"2016-09-01",-0.0048867536126127,-0.00897365262567273,0.0301920535470535
"2016-10-01",0.0174326574381536,-0.0642770402173207,-0.0225618081038252
"2016-11-01",-0.0557436283416508,0.0204252349610217,0.0812747870106039
"2016-12-01",0.0381919320780235,0.00275993463635871,0.0118867969747241
"2017-01-01",0.0221151003812272,0.0270370832414493,-0.0273841062696976
"2017-02-01",0.0513236629047134,0.061458362135685,-0.0210709168665506
"2017-03-01",-0.00892506112537728,-0.00843638963895188,-0.0209521338382714
"2017-04-01",0.0151430629151563,0.0188331482486488,-0.0239330842731178
"2017-05-01",0.040558901197024,0.00765308073339011,-0.036018143508429
"2017-06-01",-0.0355423737771212,0.0406959003392897,-0.00797800222891398
"2017-07-01",0.0320404634720446,0.0121323319068649,0.0327098408726725
"2017-08-01",0.0323532955269341,0.017372427557536,-0.0563464444031023
"2017-09-01",-0.0355528759317094,0.00539817721671731,0.0838832106167944
"2017-10-01",0.0458760382037107,-0.00394045697762024,0.00472469524180053
